Exercise,BodyPart,Difficulty,Intensity,MovementPattern,Equipment,RecommendedReps,RecommendedSets,Description,MuscleGroups,GifUrl
barbell prone incline curl,upper arms,3,High,Pull,None,8-12,1,No description provided,General,
barbell reverse curl,upper arms,4,High,Core,Machine,15-20,3,No description provided,General,
barbell reverse preacher curl,upper arms,1,Medium,Push,Body Weight,8-12,1,No description provided,General,
barbell seated close-grip concentration curl,upper arms,5,Low,Cardio,Cable,8-12,1,No description provided,General,
barbell seated overhead triceps extension,upper arms,5,Low,Pull,Band,15-20,1,No description provided,General,
barbell standing close grip curl,upper arms,5,Medium,Core,Band,12-15,1,No description provided,General,
barbell standing overhead triceps extension,upper arms,4,Medium,Isolation,Machine,15-20,2,No description provided,General,
barbell standing reverse grip curl,upper arms,1,High,Push,None,8-12,2,No description provided,General,
barbell standing wide-grip curl,upper arms,5,High,Isolation,Cable,15-20,1,No description provided,General,
bench dip (knees bent),upper arms,1,Medium,Core,Barbell,Max Effort,3,No description provided,General,
body-up,upper arms,5,Low,Cardio,Band,12-15,2,No description provided,General,
biceps narrow pull-ups,upper arms,4,High,Cardio,Kettlebell,12-15,3,No description provided,General,
biceps pull-up,upper arms,2,Low,Compound,Cable,8-12,2,No description provided,General,
cable alternate triceps extension,upper arms,1,High,Isolation,Cable,8-12,1,No description provided,General,
cable concentration extension (on knee),upper arms,3,High,Push,Band,8-12,1,No description provided,General,
cable hammer curl (with rope),upper arms,1,High,Push,Machine,15-20,4,No description provided,General,
cable incline triceps extension,upper arms,1,Low,Isolation,None,15-20,3,No description provided,General,
cable kneeling triceps extension,upper arms,2,High,Core,Barbell,12-15,3,No description provided,General,
cable lying close-grip curl,upper arms,3,Medium,Push,Kettlebell,8-12,1,No description provided,General,
cable lying triceps extension v. 2,upper arms,1,Medium,Push,Body Weight,8-12,3,No description provided,General,
cable one arm curl,upper arms,5,High,Push,None,12-15,3,No description provided,General,
cable overhead triceps extension (rope attachment),upper arms,4,Medium,Core,Machine,12-15,1,No description provided,General,
cable preacher curl,upper arms,2,Low,Pull,Kettlebell,15-20,3,No description provided,General,
cable pushdown (with rope attachment),upper arms,5,Low,Isolation,Machine,12-15,4,No description provided,General,
cable pushdown,upper arms,4,High,Cardio,Kettlebell,15-20,1,No description provided,General,
cable rear drive,upper arms,3,Medium,Pull,Dumbbell,Max Effort,1,No description provided,General,
cable reverse curl,upper arms,3,High,Core,Body Weight,8-12,2,No description provided,General,
cable reverse-grip pushdown,upper arms,3,Low,Isolation,Cable,8-12,1,No description provided,General,
cable reverse preacher curl,upper arms,2,High,Pull,Kettlebell,15-20,3,No description provided,General,
cable standing inner curl,upper arms,5,High,Pull,None,8-12,4,No description provided,General,
cable standing one arm triceps extension,upper arms,5,High,Cardio,None,8-12,1,No description provided,General,
cable standing pulldown (with rope),upper arms,1,Medium,Isolation,Machine,12-15,1,No description provided,General,
cable triceps pushdown (v-bar),upper arms,2,High,Pull,Dumbbell,12-15,2,No description provided,General,
close-grip push-up,upper arms,4,High,Isolation,None,Max Effort,2,No description provided,General,
diamond push-up,upper arms,4,Low,Core,Machine,15-20,1,No description provided,General,
dumbbell alternate biceps curl,upper arms,2,Low,Pull,Cable,Max Effort,1,No description provided,General,
dumbbell biceps curl,upper arms,5,High,Push,Barbell,12-15,3,No description provided,General,
dumbbell close-grip press,upper arms,3,Medium,Core,Barbell,Max Effort,1,No description provided,General,
dumbbell concentration curl,upper arms,1,High,Push,Barbell,15-20,1,No description provided,General,
dumbbell cross body hammer curl,upper arms,5,High,Push,Body Weight,15-20,1,No description provided,General,
dumbbell decline triceps extension,upper arms,4,Medium,Push,Barbell,Max Effort,3,No description provided,General,
dumbbell hammer curl v. 2,upper arms,3,Low,Compound,Barbell,15-20,4,No description provided,General,
dumbbell hammer curl,upper arms,1,High,Pull,Cable,12-15,2,No description provided,General,
dumbbell incline biceps curl,upper arms,2,High,Compound,Kettlebell,15-20,2,No description provided,General,
dumbbell incline curl v. 2,upper arms,4,Medium,Cardio,Cable,12-15,3,No description provided,General,
dumbbell incline curl,upper arms,2,Low,Push,None,Max Effort,2,No description provided,General,
dumbbell incline hammer curl,upper arms,5,Medium,Core,Machine,15-20,4,No description provided,General,
dumbbell incline inner biceps curl,upper arms,5,High,Pull,Kettlebell,15-20,2,No description provided,General,
dumbbell incline triceps extension,upper arms,5,Low,Isolation,Body Weight,12-15,1,No description provided,General,
dumbbell kickback,upper arms,5,Medium,Cardio,Dumbbell,8-12,3,No description provided,General,
dumbbell lying extension (across face),upper arms,4,High,Pull,Barbell,8-12,4,No description provided,General,
dumbbell lying elbow press,upper arms,2,High,Core,Barbell,8-12,3,No description provided,General,
dumbbell lying one arm pronated triceps extension,upper arms,4,Medium,Compound,Machine,12-15,1,No description provided,General,
dumbbell lying one arm supinated triceps extension,upper arms,3,Low,Core,None,15-20,3,No description provided,General,
dumbbell lying supine curl,upper arms,5,Medium,Cardio,None,8-12,4,No description provided,General,
dumbbell lying triceps extension,upper arms,3,High,Cardio,Body Weight,15-20,4,No description provided,General,
dumbbell neutral grip bench press,upper arms,2,Medium,Pull,Machine,Max Effort,3,No description provided,General,
dumbbell one arm concentration curl (on stability ball),upper arms,4,Low,Compound,Kettlebell,Max Effort,1,No description provided,General,
dumbbell one arm kickback,upper arms,3,Medium,Compound,Body Weight,12-15,4,No description provided,General,
dumbbell one arm triceps extension (on bench),upper arms,4,Medium,Isolation,Barbell,8-12,2,No description provided,General,
dumbbell over bench neutral wrist curl,upper arms,4,High,Cardio,Dumbbell,15-20,3,No description provided,General,
dumbbell over bench one arm neutral wrist curl,upper arms,4,Low,Isolation,Body Weight,12-15,2,No description provided,General,
dumbbell peacher hammer curl,upper arms,1,Low,Core,None,12-15,3,No description provided,General,
dumbbell preacher curl,upper arms,5,Medium,Isolation,Band,12-15,4,No description provided,General,
dumbbell pronate-grip triceps extension,upper arms,1,Medium,Compound,Barbell,15-20,3,No description provided,General,
dumbbell prone incline curl,upper arms,4,Low,Cardio,Band,15-20,4,No description provided,General,
dumbbell revers grip biceps curl,upper arms,4,Medium,Compound,Machine,12-15,1,No description provided,General,
dumbbell reverse preacher curl,upper arms,2,Low,Cardio,Dumbbell,12-15,4,No description provided,General,
dumbbell seated bench extension,upper arms,3,Low,Core,Body Weight,12-15,3,No description provided,General,
dumbbell seated biceps curl (on stability ball),upper arms,3,High,Pull,Barbell,12-15,4,No description provided,General,
dumbbell seated curl,upper arms,5,Low,Compound,Dumbbell,8-12,3,No description provided,General,
dumbbell seated inner biceps curl,upper arms,1,High,Compound,None,8-12,4,No description provided,General,
dumbbell seated kickback,upper arms,2,Medium,Push,Kettlebell,8-12,3,No description provided,General,
dumbbell seated neutral wrist curl,upper arms,3,Low,Core,None,8-12,2,No description provided,General,
dumbbell seated one arm kickback,upper arms,1,Low,Isolation,Cable,8-12,3,No description provided,General,
dumbbell seated preacher curl,upper arms,2,Low,Pull,Kettlebell,8-12,3,No description provided,General,
dumbbell seated revers grip concentration curl,upper arms,3,Low,Pull,Dumbbell,15-20,4,No description provided,General,
dumbbell standing biceps curl,upper arms,2,High,Isolation,Barbell,8-12,2,No description provided,General,
dumbbell standing concentration curl,upper arms,3,Medium,Push,Kettlebell,15-20,3,No description provided,General,
dumbbell standing kickback,upper arms,3,High,Push,Band,15-20,3,No description provided,General,
dumbbell standing one arm concentration curl,upper arms,1,Medium,Isolation,Barbell,Max Effort,3,No description provided,General,
dumbbell standing one arm curl (over incline bench),upper arms,2,Medium,Core,None,12-15,2,No description provided,General,
dumbbell standing one arm extension,upper arms,3,Low,Compound,Barbell,Max Effort,3,No description provided,General,
dumbbell standing one arm reverse curl,upper arms,5,Low,Pull,Machine,8-12,2,No description provided,General,
dumbbell standing preacher curl,upper arms,1,Low,Pull,Machine,15-20,2,No description provided,General,
dumbbell standing reverse curl,upper arms,3,High,Isolation,Band,Max Effort,3,No description provided,General,
dumbbell standing triceps extension,upper arms,3,Medium,Pull,Kettlebell,12-15,4,No description provided,General,
dumbbell tate press,upper arms,2,Medium,Push,Dumbbell,15-20,3,No description provided,General,
dumbbell zottman curl,upper arms,5,Medium,Compound,Barbell,8-12,3,No description provided,General,
ez barbell close-grip curl,upper arms,4,Medium,Compound,Machine,8-12,3,No description provided,General,
ez barbell curl,upper arms,1,High,Isolation,Machine,Max Effort,1,No description provided,General,
ez barbell decline close grip face press,upper arms,1,High,Push,Dumbbell,15-20,3,No description provided,General,
ez barbell incline triceps extension,upper arms,3,Medium,Cardio,Body Weight,15-20,1,No description provided,General,
ez barbell jm bench press,upper arms,5,Low,Cardio,Body Weight,12-15,3,No description provided,General,
ez barbell reverse grip curl,upper arms,3,High,Core,None,8-12,4,No description provided,General,
ez barbell reverse grip preacher curl,upper arms,3,High,Cardio,Band,12-15,2,No description provided,General,
ez barbell seated triceps extension,upper arms,2,High,Push,Body Weight,Max Effort,4,No description provided,General,
ez barbell spider curl,upper arms,2,Medium,Core,Band,15-20,3,No description provided,General,
handstand push-up,upper arms,4,High,Push,Kettlebell,15-20,1,No description provided,General,
incline close-grip push-up,upper arms,1,Low,Compound,Machine,Max Effort,1,No description provided,General,
kettlebell bottoms up clean from the hang position,upper arms,3,Medium,Compound,Band,15-20,1,No description provided,General,
kettlebell double alternating hang clean,upper arms,5,Low,Isolation,Dumbbell,12-15,1,No description provided,General,
lever bicep curl,upper arms,3,Low,Compound,Band,8-12,2,No description provided,General,
lever overhand triceps dip,upper arms,4,High,Compound,Barbell,12-15,4,No description provided,General,
lever preacher curl,upper arms,3,Low,Isolation,None,12-15,1,No description provided,General,
lever triceps extension,upper arms,5,High,Compound,Band,15-20,4,No description provided,General,
olympic barbell hammer curl,upper arms,1,Medium,Cardio,Cable,8-12,4,No description provided,General,
olympic barbell triceps extension,upper arms,3,Low,Core,Kettlebell,15-20,4,No description provided,General,
one arm dip,upper arms,1,High,Pull,Band,8-12,3,No description provided,General,
overhead triceps stretch,upper arms,2,Low,Isolation,Kettlebell,8-12,4,No description provided,General,
push-up close-grip off dumbbell,upper arms,5,Medium,Compound,Machine,15-20,1,No description provided,General,
reverse dip,upper arms,4,High,Compound,Band,15-20,1,No description provided,General,
ring dips,upper arms,3,High,Cardio,None,Max Effort,4,No description provided,General,
side push-up,upper arms,3,Low,Isolation,Machine,15-20,4,No description provided,General,
smith close-grip bench press,upper arms,5,Medium,Isolation,Body Weight,12-15,3,No description provided,General,
triceps dip (bench leg),upper arms,5,High,Cardio,Barbell,15-20,2,No description provided,General,
triceps dip (between benches),upper arms,5,Low,Compound,Machine,Max Effort,1,No description provided,General,
triceps dip,upper arms,3,Low,Isolation,Dumbbell,Max Effort,4,No description provided,General,
triceps dips floor,upper arms,3,Medium,Isolation,Body Weight,15-20,1,No description provided,General,
triceps press,upper arms,3,Medium,Push,Dumbbell,12-15,1,No description provided,General,
triceps stretch,upper arms,5,Low,Isolation,None,15-20,3,No description provided,General,
weighted bench dip,upper arms,5,Low,Core,None,Max Effort,1,No description provided,General,
weighted seated bicep curl (on stability ball),upper arms,2,High,Push,None,Max Effort,3,No description provided,General,
weighted standing curl,upper arms,5,High,Core,Kettlebell,15-20,2,No description provided,General,
cable kickback,upper arms,3,Low,Cardio,Kettlebell,8-12,2,No description provided,General,
cable curl,upper arms,5,Medium,Push,Barbell,12-15,4,No description provided,General,
band alternating biceps curl,upper arms,5,Medium,Isolation,Body Weight,8-12,1,No description provided,General,
band close-grip push-up,upper arms,3,Low,Push,Machine,12-15,3,No description provided,General,
band concentration curl,upper arms,3,Low,Push,Machine,8-12,3,No description provided,General,
band one arm overhead biceps curl,upper arms,1,High,Compound,None,15-20,1,No description provided,General,
band side triceps extension,upper arms,4,Medium,Compound,Machine,15-20,4,No description provided,General,
bench dip on floor,upper arms,4,Medium,Isolation,Machine,15-20,2,No description provided,General,
cable reverse one arm curl,upper arms,4,Low,Pull,Barbell,Max Effort,2,No description provided,General,
dumbbell one arm reverse preacher curl,upper arms,5,Low,Core,Body Weight,15-20,3,No description provided,General,
lever seated dip,upper arms,2,High,Pull,Band,12-15,2,No description provided,General,
ez barbell seated curls,upper arms,5,Medium,Cardio,Body Weight,12-15,3,No description provided,General,
push-up on lower arms,upper arms,3,High,Compound,Dumbbell,8-12,2,No description provided,General,
lever preacher curl v. 2,upper arms,3,High,Isolation,None,8-12,1,No description provided,General,
lever hammer grip preacher curl,upper arms,3,High,Core,Body Weight,12-15,4,No description provided,General,
lever reverse grip preacher curl,upper arms,4,Low,Pull,Dumbbell,15-20,1,No description provided,General,
dumbbell decline one arm hammer press,upper arms,2,Medium,Pull,Body Weight,8-12,3,No description provided,General,
dumbbell incline hammer press on exercise ball,upper arms,5,High,Isolation,Band,15-20,2,No description provided,General,
dumbbell incline one arm hammer press,upper arms,4,Low,Push,Dumbbell,12-15,4,No description provided,General,
dumbbell incline one arm hammer press on exercise ball,upper arms,3,Medium,Compound,Body Weight,12-15,2,No description provided,General,
dumbbell one arm hammer press on exercise ball,upper arms,4,Low,Compound,None,15-20,3,No description provided,General,
dumbbell palms in incline bench press,upper arms,4,High,Compound,Machine,Max Effort,2,No description provided,General,
smith machine decline close grip bench press,upper arms,4,Low,Push,None,8-12,1,No description provided,General,
ez barbell close grip preacher curl,upper arms,3,Low,Compound,Kettlebell,12-15,1,No description provided,General,
ez barbell spider curl,upper arms,4,High,Pull,Body Weight,Max Effort,1,No description provided,General,
barbell standing wide grip biceps curl,upper arms,2,Medium,Cardio,Dumbbell,Max Effort,2,No description provided,General,
cable close grip curl,upper arms,5,Low,Pull,Barbell,15-20,2,No description provided,General,
cable concentration curl,upper arms,5,High,Cardio,Machine,15-20,3,No description provided,General,
cable drag curl,upper arms,4,Medium,Isolation,Cable,15-20,1,No description provided,General,
cable one arm preacher curl,upper arms,2,Medium,Push,Kettlebell,15-20,1,No description provided,General,
cable lying bicep curl,upper arms,5,Medium,Push,Cable,8-12,3,No description provided,General,
cable one arm reverse preacher curl,upper arms,1,Medium,Isolation,Dumbbell,15-20,3,No description provided,General,
cable overhead curl,upper arms,5,High,Core,Band,Max Effort,4,No description provided,General,
cable overhead curl on exercise ball,upper arms,4,Medium,Cardio,Dumbbell,8-12,1,No description provided,General,
cable pulldown bicep curl,upper arms,3,Medium,Core,Barbell,Max Effort,4,No description provided,General,
cable rope hammer preacher curl,upper arms,1,Low,Cardio,Cable,Max Effort,4,No description provided,General,
cable rope one arm hammer preacher curl,upper arms,3,Medium,Push,Dumbbell,15-20,2,No description provided,General,
cable seated curl,upper arms,4,Low,Core,Cable,12-15,1,No description provided,General,
cable seated one arm concentration curl,upper arms,4,High,Core,Dumbbell,15-20,2,No description provided,General,
cable seated overhead curl,upper arms,1,High,Cardio,Barbell,12-15,2,No description provided,General,
cable squatting curl,upper arms,2,Low,Compound,Kettlebell,12-15,1,No description provided,General,
cable two arm curl on incline bench,upper arms,1,High,Core,Barbell,15-20,3,No description provided,General,
dumbbell alternate hammer preacher curl,upper arms,4,Low,Pull,Dumbbell,Max Effort,2,No description provided,General,
dumbbell alternate preacher curl,upper arms,4,Medium,Pull,Machine,Max Effort,2,No description provided,General,
dumbbell alternate seated hammer curl,upper arms,4,High,Push,Cable,12-15,3,No description provided,General,
dumbbell alternating bicep curl with leg raised on exercise ball,upper arms,1,High,Isolation,Body Weight,15-20,3,No description provided,General,
dumbbell alternating seated bicep curl on exercise ball,upper arms,2,Medium,Push,Band,Max Effort,3,No description provided,General,
dumbbell bicep curl lunge with bowling motion,upper arms,5,Low,Core,Body Weight,15-20,1,No description provided,General,
dumbbell bicep curl on exercise ball with leg raised,upper arms,4,Low,Core,Kettlebell,15-20,2,No description provided,General,
dumbbell bicep curl with stork stance,upper arms,2,Low,Cardio,Barbell,12-15,3,No description provided,General,
dumbbell biceps curl reverse,upper arms,1,High,Cardio,Cable,8-12,1,No description provided,General,
dumbbell biceps curl squat,upper arms,4,Low,Core,Dumbbell,8-12,1,No description provided,General,
dumbbell biceps curl v sit on bosu ball,upper arms,1,High,Push,Kettlebell,Max Effort,1,No description provided,General,
dumbbell cross body hammer curl v. 2,upper arms,1,Medium,Core,Band,8-12,4,No description provided,General,
dumbbell lunge with bicep curl,upper arms,5,High,Core,Dumbbell,Max Effort,1,No description provided,General,
dumbbell hammer curl on exercise ball,upper arms,2,Medium,Compound,Machine,8-12,4,No description provided,General,
dumbbell kneeling bicep curl exercise ball,upper arms,4,Low,Pull,Cable,Max Effort,4,No description provided,General,
dumbbell lying supine biceps curl,upper arms,4,High,Push,Dumbbell,15-20,3,No description provided,General,
dumbbell lying wide curl,upper arms,5,High,Core,Barbell,Max Effort,3,No description provided,General,
dumbbell one arm hammer preacher curl,upper arms,5,Low,Cardio,Kettlebell,15-20,1,No description provided,General,
dumbbell high curl,upper arms,4,High,Cardio,Cable,Max Effort,4,No description provided,General,
dumbbell one arm prone curl,upper arms,1,Medium,Cardio,Cable,15-20,1,No description provided,General,
dumbbell one arm prone hammer curl,upper arms,4,Low,Isolation,Cable,Max Effort,4,No description provided,General,
dumbbell one arm reverse spider curl,upper arms,1,Medium,Pull,Kettlebell,Max Effort,2,No description provided,General,
dumbbell one arm seated bicep curl on exercise ball,upper arms,1,High,Compound,Band,8-12,1,No description provided,General,
dumbbell one arm seated hammer curl,upper arms,3,Medium,Compound,Body Weight,Max Effort,4,No description provided,General,
dumbbell one arm standing curl,upper arms,3,Medium,Pull,Machine,15-20,2,No description provided,General,
dumbbell one arm standing hammer curl,upper arms,5,High,Core,Dumbbell,Max Effort,2,No description provided,General,
dumbbell one arm zottman preacher curl,upper arms,5,High,Pull,Machine,12-15,1,No description provided,General,
dumbbell preacher curl over exercise ball,upper arms,1,High,Cardio,Cable,15-20,2,No description provided,General,
dumbbell prone incline hammer curl,upper arms,3,Medium,Compound,Barbell,15-20,4,No description provided,General,
dumbbell reverse spider curl,upper arms,5,High,Pull,Kettlebell,8-12,2,No description provided,General,
dumbbell seated alternate hammer curl on exercise ball,upper arms,1,Medium,Pull,Dumbbell,8-12,4,No description provided,General,
dumbbell seated bicep curl,upper arms,3,Medium,Core,None,Max Effort,3,No description provided,General,
dumbbell seated hammer curl,upper arms,1,Medium,Cardio,Barbell,15-20,2,No description provided,General,
dumbbell seated one arm bicep curl on exercise ball with leg raised,upper arms,1,Medium,Compound,Machine,15-20,2,No description provided,General,
dumbbell standing one arm curl over incline bench,upper arms,4,Low,Pull,Barbell,Max Effort,4,No description provided,General,
ez bar seated close grip concentration curl,upper arms,4,High,Pull,Kettlebell,12-15,4,No description provided,General,
smith machine bicep curl,upper arms,5,High,Pull,Dumbbell,15-20,1,No description provided,General,
dumbbell step up single leg balance with bicep curl,upper arms,4,Low,Push,Cable,8-12,2,No description provided,General,
medicine ball close grip push up,upper arms,2,Low,Push,Band,12-15,2,No description provided,General,
barbell seated close grip behind neck triceps extension,upper arms,2,Low,Isolation,Kettlebell,12-15,2,No description provided,General,
barbell incline close grip bench press,upper arms,3,Low,Cardio,Machine,15-20,1,No description provided,General,
barbell lying back of the head tricep extension,upper arms,2,Low,Compound,Dumbbell,12-15,2,No description provided,General,
barbell reverse grip skullcrusher,upper arms,3,Medium,Compound,Body Weight,15-20,1,No description provided,General,
cable high pulley overhead tricep extension,upper arms,5,High,Compound,Cable,Max Effort,3,No description provided,General,
cable one arm tricep pushdown,upper arms,5,Low,Compound,Band,8-12,4,No description provided,General,
cable rope high pulley overhead tricep extension,upper arms,5,Medium,Push,Machine,8-12,1,No description provided,General,
cable rope incline tricep extension,upper arms,1,Medium,Core,Cable,15-20,1,No description provided,General,
cable rope lying on floor tricep extension,upper arms,2,High,Pull,Body Weight,8-12,2,No description provided,General,
cable standing reverse grip one arm overhead tricep extension,upper arms,2,Low,Compound,Kettlebell,15-20,4,No description provided,General,
cable two arm tricep kickback,upper arms,2,Medium,Compound,Body Weight,8-12,4,No description provided,General,
dumbbell lying alternate extension,upper arms,4,Low,Compound,Cable,15-20,3,No description provided,General,
dumbbell seated bent over alternate kickback,upper arms,5,Low,Cardio,Dumbbell,Max Effort,1,No description provided,General,
dumbbell close grip press,upper arms,2,High,Isolation,Dumbbell,15-20,1,No description provided,General,
dumbbell forward lunge triceps extension,upper arms,2,High,Compound,Cable,Max Effort,2,No description provided,General,
dumbbell incline two arm extension,upper arms,1,Low,Pull,Dumbbell,15-20,2,No description provided,General,
dumbbell kickbacks on exercise ball,upper arms,2,Medium,Push,Cable,8-12,1,No description provided,General,
dumbbell lying single extension,upper arms,4,Low,Push,Band,12-15,3,No description provided,General,
dumbbell one arm french press on exercise ball,upper arms,2,High,Pull,Band,Max Effort,1,No description provided,General,
dumbbell seated bent over triceps extension,upper arms,5,Low,Isolation,Machine,12-15,2,No description provided,General,
dumbbell seated reverse grip one arm overhead tricep extension,upper arms,4,High,Push,Kettlebell,12-15,3,No description provided,General,
dumbbell standing alternating tricep kickback,upper arms,5,Medium,Cardio,Dumbbell,8-12,4,No description provided,General,
dumbbell standing bent over one arm triceps extension,upper arms,4,Low,Compound,Body Weight,12-15,2,No description provided,General,
dumbbell standing bent over two arm triceps extension,upper arms,3,Medium,Push,Body Weight,Max Effort,1,No description provided,General,
dumbbell tricep kickback with stork stance,upper arms,4,High,Core,Barbell,Max Effort,3,No description provided,General,
dumbbell twisting bench press,upper arms,5,Low,Pull,Band,12-15,3,No description provided,General,
exercise ball dip,upper arms,3,High,Push,Cable,8-12,1,No description provided,General,
exercise ball seated triceps stretch,upper arms,5,High,Cardio,Barbell,12-15,1,No description provided,General,
exercise ball supine triceps extension,upper arms,2,High,Cardio,Machine,8-12,2,No description provided,General,
ez bar french press on exercise ball,upper arms,4,Low,Compound,None,Max Effort,3,No description provided,General,
ez bar lying close grip triceps extension behind head,upper arms,5,High,Push,Barbell,Max Effort,1,No description provided,General,
ez bar standing french press,upper arms,5,High,Isolation,Cable,8-12,4,No description provided,General,
medicine ball supine chest throw,upper arms,1,Low,Cardio,Dumbbell,8-12,4,No description provided,General,
barbell pin presses,upper arms,5,Low,Pull,Barbell,8-12,2,No description provided,General,
smith machine incline tricep extension,upper arms,2,High,Pull,Body Weight,15-20,1,No description provided,General,
three bench dip,upper arms,1,High,Core,Dumbbell,12-15,4,No description provided,General,
weighted three bench dips,upper arms,3,High,Pull,Cable,12-15,1,No description provided,General,
weighted tricep dips,upper arms,3,Medium,Push,Body Weight,15-20,2,No description provided,General,
weighted triceps dip on high parallel bars,upper arms,3,Low,Isolation,None,12-15,4,No description provided,General,
bodyweight side lying biceps curl,upper arms,1,Low,Cardio,None,8-12,2,No description provided,General,
biceps leg concentration curl,upper arms,1,Low,Pull,Band,8-12,4,No description provided,General,
bodyweight kneeling triceps extension,upper arms,5,Low,Push,Cable,12-15,2,No description provided,General,
ski ergometer,upper arms,2,High,Pull,Dumbbell,15-20,2,No description provided,General,
ez barbell decline triceps extension,upper arms,2,High,Cardio,Cable,12-15,4,No description provided,General,
barbell reverse close-grip bench press,upper arms,5,Medium,Cardio,Barbell,8-12,2,No description provided,General,
dumbbell seated triceps extension,upper arms,4,Medium,Core,Machine,8-12,2,No description provided,General,
dumbbells seated triceps extension,upper arms,5,Low,Pull,Machine,12-15,2,No description provided,General,
dumbbell standing zottman preacher curl,upper arms,3,High,Cardio,Machine,15-20,2,No description provided,General,
dumbbell zottman preacher curl,upper arms,5,High,Isolation,Machine,15-20,1,No description provided,General,
dumbbell standing inner biceps curl v. 2,upper arms,4,Low,Isolation,Cable,8-12,3,No description provided,General,
narrow push-up on exercise ball,upper arms,5,Low,Core,None,12-15,3,No description provided,General,
close-grip push-up (on knees),upper arms,1,Low,Isolation,Cable,15-20,4,No description provided,General,
dumbbell biceps curl (with arm blaster),upper arms,4,High,Pull,Cable,8-12,1,No description provided,General,
dumbbell hammer curls (with arm blaster),upper arms,1,High,Cardio,None,15-20,4,No description provided,General,
dumbbell alternate biceps curl (with arm blaster),upper arms,3,High,Push,Machine,12-15,4,No description provided,General,
ez-bar biceps curl (with arm blaster),upper arms,2,Medium,Core,Machine,8-12,2,No description provided,General,
cable triceps pushdown (v-bar) (with arm blaster),upper arms,5,High,Core,Machine,8-12,2,No description provided,General,
cable reverse grip triceps pushdown (sz-bar) (with arm blaster),upper arms,2,Medium,Compound,Band,12-15,1,No description provided,General,
barbell biceps curl (with arm blaster),upper arms,1,Medium,Core,Machine,Max Effort,1,No description provided,General,
barbell standing concentration curl,upper arms,2,High,Isolation,Dumbbell,Max Effort,1,No description provided,General,
ez-bar close-grip bench press,upper arms,3,Low,Pull,Kettlebell,12-15,3,No description provided,General,
ez-barbell standing wide grip biceps curl,upper arms,3,High,Core,Band,12-15,4,No description provided,General,
resistance band seated biceps curl,upper arms,2,Medium,Core,Dumbbell,12-15,1,No description provided,General,
elbow dips,upper arms,5,Medium,Isolation,Kettlebell,8-12,4,No description provided,General,
impossible dips,upper arms,5,High,Isolation,Barbell,Max Effort,4,No description provided,General,
stalder press,upper arms,2,Medium,Cardio,Machine,8-12,3,No description provided,General,
handstand,upper arms,1,Medium,Pull,Band,12-15,4,No description provided,General,
dumbbell seated biceps curl to shoulder press,upper arms,4,Low,Pull,Band,15-20,1,No description provided,General,
dumbbell standing alternate hammer curl and press,upper arms,3,High,Push,None,12-15,3,No description provided,General,
dumbbell waiter biceps curl,upper arms,4,High,Core,Barbell,Max Effort,2,No description provided,General,
assisted prone hamstring,upper legs,4,Medium,Isolation,Cable,Max Effort,3,No description provided,General,
balance board,upper legs,2,Low,Isolation,Barbell,Max Effort,1,No description provided,General,
barbell bench front squat,upper legs,5,Low,Cardio,Barbell,15-20,4,No description provided,General,
barbell bench squat,upper legs,3,Low,Pull,Band,15-20,3,No description provided,General,
barbell clean and press,upper legs,2,Medium,Core,Barbell,8-12,3,No description provided,General,
barbell clean-grip front squat,upper legs,3,High,Cardio,Band,12-15,3,No description provided,General,
barbell deadlift,upper legs,3,Medium,Cardio,Machine,12-15,2,No description provided,General,
barbell front chest squat,upper legs,2,High,Cardio,Machine,Max Effort,3,No description provided,General,
barbell front squat,upper legs,4,Low,Push,Kettlebell,8-12,1,No description provided,General,
barbell full squat,upper legs,2,High,Isolation,Machine,15-20,1,No description provided,General,
barbell good morning,upper legs,3,Low,Cardio,Band,8-12,3,No description provided,General,
barbell hack squat,upper legs,3,High,Pull,Barbell,8-12,3,No description provided,General,
barbell jefferson squat,upper legs,5,High,Push,Kettlebell,Max Effort,1,No description provided,General,
barbell jump squat,upper legs,3,High,Isolation,Dumbbell,Max Effort,2,No description provided,General,
barbell lunge,upper legs,5,Low,Cardio,Band,Max Effort,2,No description provided,General,
barbell lying lifting (on hip),upper legs,2,Medium,Pull,Machine,12-15,1,No description provided,General,
barbell narrow stance squat,upper legs,4,Low,Pull,Dumbbell,12-15,1,No description provided,General,
barbell one arm side deadlift,upper legs,1,High,Isolation,Barbell,12-15,4,No description provided,General,
barbell one leg squat,upper legs,2,High,Pull,Cable,Max Effort,3,No description provided,General,
barbell overhead squat,upper legs,2,High,Cardio,Machine,8-12,4,No description provided,General,
barbell rack pull,upper legs,1,Low,Cardio,Barbell,8-12,1,No description provided,General,
barbell rear lunge v. 2,upper legs,4,High,Push,None,8-12,4,No description provided,General,
barbell rear lunge,upper legs,1,Medium,Push,Kettlebell,Max Effort,1,No description provided,General,
barbell romanian deadlift,upper legs,5,High,Push,Machine,Max Effort,4,No description provided,General,
barbell seated good morning,upper legs,3,High,Core,Band,Max Effort,3,No description provided,General,
barbell side split squat v. 2,upper legs,5,Low,Push,Body Weight,Max Effort,3,No description provided,General,
barbell side split squat,upper legs,5,High,Pull,Dumbbell,15-20,1,No description provided,General,
barbell single leg split squat,upper legs,3,Medium,Pull,Kettlebell,Max Effort,3,No description provided,General,
